,Mkt-RF,SMB,HML,RF
19990520,-0.36,0.97,0.26,0.017
19990521,-0.57,0.77,0.55,0.017
19990524,-1.93,0.08,0.96,0.017
19990525,-1.81,-0.06,0.89,0.017
19990526,1.41,-1.21,-0.69,0.017
19990527,-1.43,1.18,0.09,0.017
19990528,1.53,-0.06,-0.6,0.017
19990601,-0.8,0.37,0.69,0.018
19990602,0.13,-0.32,-0.43,0.018
19990603,0.12,-0.24,0.26,0.018
19990604,2.03,-0.27,-1.51,0.018
19990607,0.71,0.23,-0.01,0.018
19990608,-1.23,0.5,0.61,0.018
19990609,0.16,0.64,-0.44,0.018
19990610,-1.2,0.52,0.5,0.018
19990611,-0.8,-0.08,0.38,0.018
19990614,-0.49,-1.22,1,0.018
19990615,0.52,-0.5,0.08,0.018
19990616,2.26,-0.57,-1.12,0.018
19990617,0.72,0.12,-0.67,0.018
19990618,0.22,0.4,-0.12,0.018
19990621,0.63,0.82,-0.75,0.018
19990622,-0.93,0.62,0.23,0.018
19990623,-0.14,0.16,0.03,0.018
19990624,-1.31,0.65,0.43,0.018
19990625,-0.06,0.17,-0.01,0.018
19990628,1.23,0.14,-0.25,0.018
19990629,1.49,-0.02,-0.89,0.018
19990630,1.6,1.06,-1.55,0.018
19990701,0.55,-0.75,-0.34,0.018
19990702,0.73,0.05,-0.58,0.018
19990706,-0.08,0.25,-0.06,0.018
19990707,0.22,-0.48,-0.3,0.018
19990708,0.03,0.55,-0.42,0.018
19990709,0.54,0.38,-0.18,0.018
19990712,-0.24,0.63,-0.03,0.018
19990713,-0.39,0.25,0.1,0.018
19990714,0.46,0.44,-0.61,0.018
19990715,0.83,0.21,-0.5,0.018
19990716,0.48,-0.43,-0.04,0.018
19990719,-0.82,0.15,0.49,0.018
19990720,-2.22,0.13,1.13,0.018
19990721,0.27,0.1,-0.4,0.018
19990722,-1.33,0.07,0.96,0.018
19990723,-0.32,-0.21,-0.13,0.018
19990726,-1.02,-0.51,0.73,0.018
19990727,1.12,-0.41,-0.7,0.018
19990728,0.15,0.28,-0.38,0.018
19990729,-1.75,0.64,0.61,0.018
19990730,-0.72,1.32,0.17,0.018
19990802,-0.27,-0.43,0.37,0.018
19990803,-0.79,-0.67,0.38,0.018
19990804,-1.45,-0.43,1.2,0.018
19990805,0.63,-0.8,-0.27,0.018
19990806,-1,0.78,0.23,0.018
19990809,-0.41,-0.38,0.74,0.018
19990810,-1.16,0.32,0.14,0.018
19990811,1.62,-0.74,-0.21,0.018
19990812,-0.14,0.33,0.11,0.018
19990813,2.21,-0.8,-1.26,0.018
19990816,0.26,-0.1,-0.46,0.018
19990817,0.97,-0.64,-0.09,0.018
19990818,-0.75,0.45,-0.26,0.018
19990819,-0.78,0.61,0.7,0.018
19990820,0.89,-0.34,-0.39,0.018
19990823,1.76,-0.87,-1.04,0.018
19990824,0.18,-0.02,-0.44,0.018
19990825,1.21,-0.02,-1.68,0.018
19990826,-1.18,0.92,0.19,0.018
19990827,-0.99,0.4,0.47,0.018
19990830,-1.78,1.05,-0.13,0.018
19990831,-0.17,0.31,-0.2,0.018
19990901,0.76,-0.22,-0.1,0.018
19990902,-0.86,0.35,0.15,0.018
19990903,2.84,-0.95,-1.22,0.018
19990907,-0.34,0.83,0.1,0.018
19990908,-0.55,0.19,0.31,0.018
19990909,0.31,0.15,0.03,0.018
19990910,0.44,0.41,-0.45,0.018
19990913,-0.64,0.33,0.08,0.018
19990914,-0.52,0.23,-0.23,0.018
19990915,-1.28,0.61,0.81,0.018
19990916,-0.2,-0.89,0.07,0.018
19990917,1.22,-0.21,-0.69,0.018
