,Mkt-RF,SMB,HML,RF
20041229,0.01,-0.07,0.03,0.007
20041230,0.04,-0.02,-0.01,0.007
20041231,-0.14,-0.01,0.21,0.007
20050103,-0.97,-0.6,-0.07,0.008
20050104,-1.3,-0.61,0.46,0.008
20050105,-0.51,-1.12,0.01,0.008
20050106,0.34,-0.15,0.14,0.008
20050107,-0.22,-0.81,-0.09,0.008
20050110,0.42,0.25,0.13,0.008
20050111,-0.68,-0.35,0.37,0.008
20050112,0.38,-0.04,-0.09,0.008
20050113,-0.77,0.1,0.39,0.008
20050114,0.66,0.52,0.05,0.008
20050118,0.97,0.2,-0.22,0.008
20050119,-0.97,-0.16,0.44,0.008
20050120,-0.77,-0.13,0.02,0.008
20050121,-0.56,0.32,0.16,0.008
20050124,-0.49,-0.79,0.6,0.008
20050125,0.34,0.18,-0.43,0.008
20050126,0.62,0.96,-0.17,0.008
20050127,0.08,0.1,0.15,0.008
20050128,-0.3,-0.26,0.15,0.008
20050131,0.97,0.78,0.14,0.008
20050201,0.69,-0.1,0.22,0.009
20050202,0.36,0.27,0.11,0.009
20050203,-0.27,-0.2,0.36,0.009
20050204,1.12,0.19,-0.46,0.009
20050207,-0.11,0.14,-0.08,0.009
20050208,0.08,0.25,-0.14,0.009
20050209,-1,-1.19,0.77,0.009
20050210,0.35,-0.37,0.1,0.009
20050211,0.77,0.42,-0.31,0.009
20050214,0.09,-0.03,0.1,0.009
20050215,0.28,-0.36,0,0.009
20050216,0.07,0.43,0.36,0.009
20050217,-0.79,-0.32,0.24,0.009
20050218,0.01,-0.1,-0.08,0.009
20050222,-1.47,-0.3,-0.1,0.009
20050223,0.53,-0.15,0.14,0.009
20050224,0.83,0.24,-0.26,0.009
20050225,0.97,0.38,0.34,0.009
20050228,-0.61,0.25,0.05,0.009
20050301,0.58,0.1,0.16,0.01
20050302,-0.01,-0.17,-0.02,0.01
20050303,-0.01,0.08,0.52,0.01
20050304,0.89,-0.06,0.22,0.01
20050307,0.27,-0.36,0.14,0.01
20050308,-0.54,-0.4,0.02,0.01
20050309,-0.96,0.07,-0.09,0.01
20050310,0.01,-0.84,-0.13,0.01
20050311,-0.55,0.55,0.42,0.01
20050314,0.61,-0.25,0.16,0.01
20050315,-0.67,0.17,0.34,0.01
20050316,-0.84,0.24,0.22,0.01
20050317,0.19,0.03,0.5,0.01
20050318,-0.13,-0.32,0.02,0.01
20050321,-0.38,0.36,-0.23,0.01
20050322,-0.92,0.69,-0.13,0.01
20050323,-0.12,-0.87,-0.52,0.01
20050324,0.01,0.46,-0.08,0.01
20050328,0.15,-0.2,0.01,0.01
20050329,-0.86,-0.82,0.14,0.01
20050330,1.35,0.15,-0.19,0.01
20050331,0,-0.06,0.64,0.01
20050401,-0.64,0.01,0.41,0.01
20050404,0.29,0.01,0.18,0.01
20050405,0.4,-0.14,-0.31,0.01
20050406,0.22,-0.11,0.06,0.01
20050407,0.57,-0.01,-0.22,0.01
20050408,-0.88,-0.45,0.05,0.01
20050411,-0.09,-0.66,0.12,0.01
20050412,0.56,0.23,-0.04,0.01
20050413,-1.22,-0.31,-0.12,0.01
20050414,-1.1,-0.54,-0.15,0.01
20050415,-1.59,-0.14,-0.35,0.01
20050418,0.29,0.32,0.17,0.01
20050419,0.75,0.82,0.11,0.01
20050420,-1.35,-0.23,0.09,0.01
20050421,1.87,0.37,-0.6,0.01
20050422,-0.83,-0.87,0.45,0.01
20050425,0.93,0.07,0.03,0.01
20050426,-0.88,-0.49,0,0.01
20050427,0.3,-0.53,-0.16,0.01
20050428,-1.2,-0.98,0.4,0.01
20050429,1.04,-0.41,-0.04,0.01
20050502,0.52,0.46,0.06,0.011
20050503,-0.04,0.03,-0.37,0.011
20050504,1.28,0.24,0.4,0.011
20050505,-0.19,0.3,-0.3,0.011
20050506,-0.03,0.34,0.11,0.011
20050509,0.61,0.32,0.05,0.011
20050510,-1.03,-0.16,0.03,0.011
20050511,0.39,-0.41,-0.09,0.011
20050512,-1.02,-0.17,-0.65,0.011
20050513,-0.5,-0.09,-0.62,0.011
20050516,1.03,0.51,-0.23,0.011
20050517,0.66,-0.24,0.32,0.011
20050518,1.15,0.98,-0.4,0.011
20050519,0.47,-0.07,-0.01,0.011
20050520,-0.13,-0.07,0.19,0.011
20050523,0.43,0.21,0,0.011
20050524,0.05,-0.01,0,0.011
20050525,-0.44,-0.58,0.21,0.011
20050526,0.74,0.64,0.08,0.011
20050527,0.18,0.08,0.3,0.011
20050531,-0.49,0.46,0.32,0.011
20050601,0.9,0.17,0.04,0.01
20050602,0.24,0.15,-0.25,0.01
20050603,-0.67,-0.21,0.5,0.01
20050606,0.14,0.31,0.12,0.01
20050607,-0.03,0.17,0.06,0.01
20050608,-0.28,-0.39,0.31,0.01
20050609,0.58,0.31,0,0.01
20050610,-0.21,0.11,0.44,0.01
20050613,0.28,0.14,0.13,0.01
20050614,0.31,0.47,0.41,0.01
20050615,0.22,0.26,0.14,0.01
20050616,0.46,0.63,-0.3,0.01
20050617,0.36,-0.61,0.26,0.01
20050620,-0.07,-0.35,0.1,0.01
20050621,-0.18,0.1,-0.02,0.01
20050622,0.05,0.26,0.04,0.01
20050623,-1.07,-0.41,0.23,0.01
20050624,-0.72,-0.05,0.19,0.01
20050627,-0.07,-0.11,0.55,0.01
20050628,1.05,1.09,-0.52,0.01
20050629,-0.07,0.32,0.05,0.01
20050630,-0.63,0.21,0.25,0.01
20050701,0.32,0.11,0.34,0.012
20050705,0.92,0.57,-0.16,0.012
20050706,-0.73,0.07,0.07,0.012
20050707,0.26,-0.1,-0.23,0.012
20050708,1.21,0.79,-0.57,0.012
20050711,0.69,0.79,-0.16,0.012
20050712,0.2,-0.28,-0.03,0.012
20050713,0.02,-0.4,0.04,0.012
20050714,0.14,-0.66,-0.44,0.012
20050715,0.12,-0.04,0,0.012
20050718,-0.55,-0.16,0.11,0.012
20050719,0.75,0.9,-0.16,0.012
20050720,0.54,0.79,-0.37,0.012
20050721,-0.74,-0.64,0.17,0.012
20050722,0.57,0.92,0.47,0.012
20050725,-0.47,-0.51,0.16,0.012
20050726,0.21,0.27,0.21,0.012
20050727,0.43,-0.38,-0.04,0.012
20050728,0.67,0.55,-0.26,0.012
20050729,-0.66,0.25,0.12,0.012
20050801,0.15,0.27,-0.13,0.013
20050802,0.7,0.04,0.07,0.013
20050803,-0.02,-0.66,-0.07,0.013
20050804,-0.82,-0.84,0.4,0.013
20050805,-0.81,-0.32,0,0.013
20050808,-0.32,-0.03,0.21,0.013
20050809,0.55,-0.47,-0.04,0.013
20050810,-0.13,0.01,0.15,0.013
20050811,0.71,0.21,-0.1,0.013
20050812,-0.57,-0.4,0.12,0.013
20050815,0.3,0.47,-0.14,0.013
20050816,-1.22,-0.47,0.17,0.013
20050817,0.05,0.02,-0.07,0.013
20050818,-0.15,-0.41,0.11,0.013
20050819,0.07,0.07,0.15,0.013
20050822,0.19,0.49,0.15,0.013
20050823,-0.31,-0.01,0.01,0.013
20050824,-0.56,0.46,0.17,0.013
20050825,0.21,0.13,0.2,0.013
20050826,-0.66,-0.57,-0.08,0.013
20050829,0.65,0.37,-0.26,0.013
20050830,-0.31,-0.05,0.35,0.013
20050831,1.1,0.71,-0.05,0.013
20050901,0.13,-0.06,0.26,0.014
20050902,-0.36,-0.3,0.01,0.014
20050906,1.22,0.29,-0.45,0.014
20050907,0.3,0.1,-0.14,0.014
20050908,-0.4,-0.11,-0.08,0.014
20050909,0.73,-0.12,0.11,0.014
20050912,0,0.54,-0.27,0.014
20050913,-0.76,-0.2,0.15,0.014
20050914,-0.44,-0.69,0.47,0.014
20050915,-0.02,-0.26,0.29,0.014
20050916,0.72,0.17,-0.07,0.014
20050919,-0.55,-0.18,0.25,0.014
20050920,-0.78,-0.11,0.1,0.014
20050921,-1.03,-0.52,0.26,0.014
20050922,0.3,-0.06,-0.24,0.014
20050923,0.15,0.53,0.14,0.014
20050926,0.12,0.54,0.03,0.014
20050927,-0.02,-0.07,-0.11,0.014
20050928,0.06,-0.58,0.21,0.014
20050929,0.92,0.2,0.04,0.014
20050930,0.2,0.31,-0.26,0.014
20051003,0,0.46,0.03,0.013
20051004,-0.97,0.23,-0.14,0.013
20051005,-1.63,-1,-0.19,0.013
20051006,-0.57,-0.32,0.09,0.013
20051007,0.42,0.31,0.27,0.013
20051010,-0.73,-0.06,-0.2,0.013
20051011,-0.33,-0.99,0.17,0.013
20051012,-0.79,-0.55,0.08,0.013
20051013,-0.09,0.45,-0.52,0.013
20051014,0.92,0.51,-0.11,0.013
20051017,0.29,-0.34,0.01,0.013
20051018,-1.03,-0.01,-0.09,0.013
20051019,1.45,0.45,-0.14,0.013
20051020,-1.44,0.06,-0.4,0.013
20051021,0.32,0.35,0.28,0.013
20051024,1.7,0.15,0.24,0.013
20051025,-0.3,-0.33,0.09,0.013
20051026,-0.46,-0.26,0.21,0.013
20051027,-1.24,-1.05,0.42,0.013
20051028,1.55,-0.06,0.29,0.013
20051031,0.96,0.8,0.04,0.013
20051101,-0.27,-0.24,0.29,0.015
20051102,1.15,0.83,-0.02,0.015
20051103,0.43,-0.08,-0.15,0.015
20051104,0.01,0.07,-0.24,0.015
20051107,0.25,0.22,-0.06,0.015
20051108,-0.37,-0.32,-0.01,0.015
20051109,0.15,0.25,0.01,0.015
20051110,0.8,-0.07,-0.51,0.015
20051111,0.27,-0.02,-0.15,0.015
20051114,-0.1,-0.33,0.08,0.015
20051115,-0.49,-0.64,-0.14,0.015
20051116,0.11,-0.36,-0.01,0.015
20051117,1.06,0.67,-0.13,0.015
20051118,0.43,0.29,-0.21,0.015
20051121,0.6,0.45,-0.33,0.015
20051122,0.48,-0.05,0.02,0.015
20051123,0.31,-0.25,0.18,0.015
20051125,0.18,-0.12,-0.07,0.015
20051128,-1.01,-0.7,0.23,0.015
20051129,0.01,0.26,0.24,0.015
20051130,-0.43,1.15,-0.15,0.015
20051201,1.27,0.52,0.05,0.015
20051202,0.05,0.05,-0.1,0.015
20051205,-0.3,-0.22,0.02,0.015
20051206,0.12,0.08,0.04,0.015
20051207,-0.49,-0.06,0.05,0.015
20051208,-0.03,0.26,0.06,0.015
20051209,0.27,0.22,0.05,0.015
20051212,0.1,0.12,-0.09,0.015
20051213,0.44,-0.55,-0.19,0.015
20051214,0.34,-0.26,0.08,0.015
20051215,-0.23,-0.55,-0.4,0.015
20051216,-0.29,0.03,-0.06,0.015
20051219,-0.73,-0.81,0.27,0.015
20051220,-0.02,-0.02,0.03,0.015
20051221,0.33,0.66,-0.32,0.015
20051222,0.45,0.14,-0.06,0.015
20051223,0.08,0.29,-0.01,0.015
20051227,-1,-0.44,0.15,0.015
20051228,0.19,0.39,0.1,0.015
20051229,-0.27,-0.02,0.24,0.015
20051230,-0.5,-0.22,0.24,0.015
20060103,1.5,-0.2,0.16,0.017
20060104,0.46,0.36,0.03,0.017
20060105,0.03,0.28,-0.1,0.017
20060106,0.92,0.11,-0.24,0.017
20060109,0.45,0.52,-0.17,0.017
20060110,0.05,0.57,0.02,0.017
20060111,0.28,-0.23,-0.11,0.017
20060112,-0.65,0.09,0.01,0.017
20060113,0.17,0.14,0.1,0.017
20060117,-0.4,-0.33,0.22,0.017
20060118,-0.35,0.35,0.28,0.017
20060119,0.63,0.95,-0.11,0.017
20060120,-1.8,0.38,0.5,0.017
20060123,0.18,0.19,0.43,0.017
20060124,0.44,1.04,0.07,0.017
20060125,-0.22,-0.04,-0.1,0.017
20060126,0.79,0.78,0.01,0.017
20060127,0.67,-0.15,-0.17,0.017
20060130,0.1,-0.27,0.23,0.017
20060131,-0.21,0.56,-0.01,0.017
20060201,0.14,0.2,0.03,0.018
20060202,-0.88,-0.27,-0.06,0.018
20060203,-0.51,0.22,0.02,0.018
20060206,0.1,0.26,0.52,0.018
20060207,-0.92,-0.49,-0.23,0.018
20060208,0.77,-0.26,-0.1,0.018
20060209,-0.19,-0.15,-0.27,0.018
20060210,0.15,-0.35,-0.02,0.018
20060213,-0.47,-0.52,0.18,0.018
20060214,1.01,0.25,-0.12,0.018
20060215,0.41,0.42,-0.5,0.018
20060216,0.75,0.05,0.19,0.018
20060217,-0.16,-0.04,0.33,0.018
20060221,-0.38,-0.22,0.1,0.018
20060222,0.73,0.01,-0.08,0.018
20060223,-0.29,0.23,-0.25,0.018
20060224,0.19,0.33,0.18,0.018
20060227,0.4,0.18,-0.33,0.018
20060228,-1.1,-0.21,0.09,0.018
20060301,0.9,0.68,-0.01,0.016
20060302,-0.16,-0.09,0.09,0.016
20060303,-0.15,-0.02,-0.05,0.016
20060306,-0.75,-0.21,-0.11,0.016
20060307,-0.4,-1.08,0.07,0.016
20060308,0.14,-0.05,0.04,0.016
20060309,-0.51,0.01,0.29,0.016
20060310,0.69,0.39,0.05,0.016
20060313,0.24,-0.04,0.14,0.016
20060314,1,0.03,0.02,0.016
20060315,0.48,0.39,0.14,0.016
20060316,0.11,-0.17,0.27,0.016
20060317,0.18,0.12,-0.3,0.016
20060320,-0.07,0.17,-0.3,0.016
20060321,-0.69,-0.51,-0.05,0.016
20060322,0.62,0.5,0.05,0.016
20060323,-0.18,0.54,0,0.016
20060324,0.22,0.67,0.21,0.016
20060327,-0.07,0.14,0.27,0.016
20060328,-0.61,0.25,-0.06,0.016
20060329,0.87,0.83,0.08,0.016
20060330,-0.16,0.17,-0.22,0.016
20060331,-0.23,0.69,-0.05,0.016
20060403,0.07,-0.89,0.66,0.019
20060404,0.54,-0.28,0.07,0.019
20060405,0.42,-0.01,0.28,0.019
20060406,-0.15,0.18,0.04,0.019
20060407,-1.02,-0.11,-0.13,0.019
20060410,-0.02,-0.42,0.08,0.019
20060411,-0.83,-0.67,0.01,0.019
20060412,0.19,0.6,-0.05,0.019
20060413,0.12,0.37,-0.13,0.019
20060417,-0.28,-0.04,0.25,0.019
20060418,1.71,0.64,0.05,0.019
20060419,0.33,0.87,-0.02,0.019
20060420,0.01,-0.46,0.05,0.019
20060421,-0.1,-0.2,0.21,0.019
20060424,-0.3,-0.42,0.03,0.019
20060425,-0.44,0.44,-0.01,0.019
20060426,0.2,-0.12,0.31,0.019
20060427,0.24,-0.93,0.11,0.019
20060428,0.05,0.11,0.48,0.019
20060501,-0.41,0.01,0.35,0.02
20060502,0.54,0.18,0.52,0.02
20060503,-0.31,0.41,0.05,0.02
20060504,0.37,0.6,-0.28,0.02
20060505,1.04,-0.31,-0.02,0.02
20060508,-0.05,0.06,0.08,0.02
20060509,-0.01,-0.15,0.17,0.02
20060510,-0.2,-0.59,0.47,0.02
20060511,-1.35,-1.09,0.31,0.02
20060512,-1.26,-0.71,-0.07,0.02
20060515,0.04,-0.89,-0.27,0.02
20060516,-0.12,0.11,0.38,0.02
20060517,-1.66,0.14,0.21,0.02
20060518,-0.69,-0.3,0.16,0.02
20060519,0.38,0.12,0.02,0.02
20060522,-0.55,-0.74,0.28,0.02
20060523,-0.44,0.06,-0.08,0.02
20060524,0.03,-0.07,-0.06,0.02
20060525,1.22,0.68,-0.06,0.02
20060526,0.6,-0.15,-0.19,0.02
20060530,-1.65,-0.79,0.2,0.02
20060531,0.94,0.38,0.37,0.02
20060601,1.29,0.83,-0.16,0.018
20060602,0.16,-0.1,0.2,0.018
20060605,-1.94,-1.16,0.28,0.018
20060606,-0.28,-0.17,0,0.018
20060607,-0.57,0.03,-0.15,0.018
20060608,0.01,-0.25,0.08,0.018
20060609,-0.44,-0.25,0.01,0.018
20060612,-1.48,-1.28,0.28,0.018
20060613,-1.15,-0.35,-0.39,0.018
20060614,0.46,0.2,-0.24,0.018
20060615,2.33,1.05,0.17,0.018
20060616,-0.43,-0.72,-0.01,0.018
20060619,-1.01,-0.78,0.18,0.018
20060620,-0.07,-0.37,0.05,0.018
20060621,1.11,0.74,-0.19,0.018
20060622,-0.52,0.13,0.14,0.018
20060623,0.03,0.23,0.15,0.018
20060626,0.5,0.52,0.2,0.018
20060627,-1,-0.73,0.29,0.018
20060628,0.47,-0.36,0.15,0.018
20060629,2.29,1.41,-0.31,0.018
20060630,-0.02,1.16,0.07,0.018
20060703,0.72,-0.08,-0.22,0.02
20060705,-0.88,-0.54,0.32,0.02
20060706,0.23,-0.07,0.06,0.02
20060707,-0.8,-0.86,0.68,0.02
20060710,0.04,-0.29,0.56,0.02
20060711,0.37,0.3,-0.07,0.02
20060712,-1.21,-0.68,0.29,0.02
20060713,-1.43,-0.58,0.16,0.02
20060714,-0.6,-0.34,0.16,0.02
20060717,-0.22,-0.45,0.04,0.02
20060718,0.17,0.18,0.31,0.02
20060719,1.98,0.92,-0.27,0.02
20060720,-1.11,-1.63,0.65,0.02
20060721,-0.89,-0.83,0.24,0.02
20060724,1.75,0.92,-0.56,0.02
20060725,0.69,0.25,-0.15,0.02
20060726,-0.13,-0.32,0.35,0.02
20060727,-0.58,-0.72,0.29,0.02
20060728,1.31,0.66,-0.08,0.02
20060731,-0.09,0.27,-0.15,0.02
20060801,-0.6,-0.98,0.4,0.018
20060802,0.64,0.36,-0.26,0.018
20060803,0.27,0.85,-0.47,0.018
20060804,-0.13,-0.43,0.06,0.018
20060807,-0.35,-0.29,0.11,0.018
20060808,-0.42,-0.79,0.08,0.018
20060809,-0.52,-0.4,-0.01,0.018
20060810,0.49,0.38,-0.41,0.018
20060811,-0.49,-0.57,0.14,0.018
20060814,0.12,0.27,-0.26,0.018
20060815,1.46,0.77,-0.44,0.018
20060816,0.9,0.61,-0.49,0.018
20060817,0.18,0.35,-0.21,0.018
20060818,0.3,-0.16,-0.14,0.018
20060821,-0.48,-0.48,0.11,0.018
20060822,0.07,0.26,0.04,0.018
20060823,-0.55,-0.78,0.16,0.018
20060824,0.16,-0.18,0.08,0.018
20060825,-0.07,0.22,-0.21,0.018
20060828,0.58,0.41,-0.11,0.018
20060829,0.33,0.94,-0.18,0.018
20060830,0.13,0.72,-0.31,0.018
20060831,0.03,0,0.26,0.018
20060901,0.49,-0.27,-0.1,0.02
20060905,0.21,0.51,0.01,0.02
20060906,-1.13,-1.01,0.42,0.02
20060907,-0.5,-0.18,0.21,0.02
20060908,0.32,-0.09,-0.15,0.02
20060911,-0.03,-0.14,-0.05,0.02
20060912,1.18,1.17,-0.29,0.02
20060913,0.45,0.39,-0.04,0.02
20060914,-0.16,-0.23,0.04,0.02
20060915,0.21,-0.01,-0.18,0.02
20060918,0.04,0,-0.23,0.02
20060919,-0.29,-0.22,0.13,0.02
20060920,0.6,0.58,-0.03,0.02
20060921,-0.59,-0.35,0.04,0.02
20060922,-0.41,-0.86,0.42,0.02
20060925,0.86,0.19,0.1,0.02
20060926,0.71,-0.36,-0.21,0.02
20060927,0.08,0.35,-0.08,0.02
20060928,0.15,-0.12,-0.16,0.02
20060929,-0.33,-0.63,0.2,0.02
20061002,-0.43,-0.53,0.2,0.018
20061003,0.13,-0.38,0.43,0.018
20061004,1.28,0.74,-0.47,0.018
20061005,0.43,0.9,-0.32,0.018
20061006,-0.31,-0.05,-0.1,0.018
20061009,0.2,0.42,0.08,0.018
20061010,0.21,-0.03,-0.04,0.018
20061011,-0.3,-0.31,0.2,0.018
20061012,1.07,0.97,-0.26,0.018
20061013,0.22,0.48,-0.06,0.018
20061016,0.34,0.61,-0.25,0.018
20061017,-0.44,-0.24,0.35,0.018
20061018,0.08,-0.32,0.05,0.018
20061019,0.1,0.51,-0.25,0.018
20061020,-0.02,-0.68,-0.08,0.018
20061023,0.56,-0.43,-0.22,0.018
20061024,0.01,-0.21,0.2,0.018
20061025,0.32,0.16,-0.02,0.018
20061026,0.63,0.39,0.2,0.018
20061027,-0.88,-0.33,0.08,0.018
20061030,0.07,0.39,0.16,0.018
20061031,-0.07,-0.36,-0.17,0.018
20061101,-0.87,-1.03,0.3,0.02
20061102,-0.05,-0.22,0.04,0.02
20061103,-0.12,0.5,-0.02,0.02
20061106,1.16,0.26,-0.13,0.02
20061107,0.23,0.07,-0.25,0.02
20061108,0.29,0.3,0.33,0.02
20061109,-0.58,-0.46,0.31,0.02
20061110,0.26,0.65,0.08,0.02
20061113,0.27,0.16,0.02,0.02
20061114,0.71,0.92,-0.23,0.02
20061115,0.35,0.56,-0.35,0.02
20061116,0.16,-0.33,0.14,0.02
20061117,0.03,-0.33,-0.22,0.02
20061120,-0.06,0.22,0.02,0.02
20061121,0.14,0.04,-0.09,0.02
20061122,0.28,-0.1,-0.23,0.02
20061124,-0.32,0.23,0.07,0.02
20061127,-1.53,-1.02,0.3,0.02
20061128,0.3,0.01,-0.04,0.02
20061129,0.95,0.17,-0.08,0.02
20061130,0.11,0.13,0.17,0.02
20061201,-0.3,-0.36,0.12,0.02
20061204,0.99,0.86,-0.17,0.02
20061205,0.41,-0.21,0.25,0.02
20061206,-0.1,-0.08,0.15,0.02
20061207,-0.41,-0.03,0.06,0.02
20061208,0.14,-0.17,-0.1,0.02
20061211,0.18,-0.3,0.64,0.02
20061212,-0.2,-0.52,0.46,0.02
20061213,0.09,-0.03,0.13,0.02
20061214,0.8,-0.14,-0.1,0.02
20061215,0.07,-0.35,0.39,0.02
20061218,-0.46,-0.95,0.19,0.02
20061219,0.16,-0.13,0.03,0.02
20061220,-0.12,0.55,0.1,0.02
20061221,-0.38,0.02,0.34,0.02
20061222,-0.48,0.28,0.07,0.02
20061226,0.44,0.33,0.38,0.02
20061227,0.74,0.53,-0.1,0.02
20061228,-0.18,-0.17,-0.04,0.02
20061229,-0.51,-0.25,-0.13,0.02
20070103,-0.04,0,0.18,0.022
20070104,0.16,0.22,-0.49,0.022
20070105,-0.73,-0.94,-0.28,0.022
20070108,0.24,-0.07,0.05,0.022
20070109,0,0.3,-0.3,0.022
20070110,0.23,-0.09,-0.19,0.022
20070111,0.74,0.6,-0.36,0.022
20070112,0.5,0.22,-0.29,0.022
20070116,0,-0.27,0,0.022
20070117,-0.14,-0.24,-0.03,0.022
20070118,-0.48,-1.03,0.42,0.022
20070119,0.33,0.4,0.08,0.022
20070122,-0.55,-0.5,0.31,0.022
20070123,0.37,0.58,0.04,0.022
20070124,0.84,0.27,-0.23,0.022
20070125,-1.15,-0.05,-0.09,0.022
20070126,-0.06,0.53,0.11,0.022
20070129,0.02,0.58,0.24,0.022
20070130,0.52,0.01,0.16,0.022
20070131,0.64,-0.39,0.01,0.022
20070201,0.59,0.32,-0.21,0.02
20070202,0.15,0.08,0.22,0.02
20070205,-0.12,-0.25,0.11,0.02
20070206,0.1,0.26,0.21,0.02
20070207,0.21,0.37,0.07,0.02
20070208,-0.1,0.24,-0.25,0.02
20070209,-0.76,-0.37,0.19,0.02
20070212,-0.35,0.21,0.11,0.02
20070213,0.72,-0.18,0.3,0.02
20070214,0.73,-0.49,-0.18,0.02
20070215,0.11,0.15,-0.42,0.02
20070216,0,0.26,0.06,0.02
20070220,0.42,0.62,-0.14,0.02
20070221,-0.09,0.32,-0.25,0.02
20070222,-0.06,0.37,-0.13,0.02
20070223,-0.31,0.15,-0.28,0.02
20070226,-0.19,-0.13,0.05,0.02
20070227,-3.43,-0.2,0.18,0.02
20070228,0.47,-0.51,0.2,0.02
20070301,-0.25,-0.11,0.15,0.019
20070302,-1.24,-0.64,0.26,0.019
20070305,-1.11,-0.69,-0.31,0.019
20070306,1.58,0.65,-0.02,0.019
20070307,-0.21,-0.09,0.07,0.019
20070308,0.68,-0.03,-0.06,0.019
20070309,0.09,0.28,0.16,0.019
20070312,0.28,0.3,-0.22,0.019
20070313,-2.03,-0.21,-0.26,0.019
20070314,0.57,0.1,-0.05,0.019
20070315,0.44,0.49,0.16,0.019
20070316,-0.42,-0.09,-0.19,0.019
20070319,1.08,-0.1,-0.09,0.019
20070320,0.67,0.03,0.11,0.019
20070321,1.64,-0.11,-0.12,0.019
20070322,-0.02,0.23,-0.43,0.019
20070323,0.08,0.08,0.08,0.019
20070326,0.06,-0.03,-0.17,0.019
20070327,-0.61,-0.19,-0.06,0.019
20070328,-0.74,0.22,0.03,0.019
20070329,0.29,-0.2,0.11,0.019
20070330,-0.07,0.31,-0.11,0.019
20070402,0.22,0.09,-0.22,0.022
20070403,0.93,0.06,-0.08,0.022
20070404,0.09,-0.19,-0.26,0.022
20070405,0.31,0.03,-0.16,0.022
20070409,0.05,-0.24,0.02,0.022
20070410,0.22,0.07,0.04,0.022
20070411,-0.64,-0.11,0.13,0.022
20070412,0.61,0.24,-0.15,0.022
20070413,0.34,0.23,-0.05,0.022
20070416,1.06,0.28,0.05,0.022
20070417,0.09,-0.43,-0.07,0.022
20070418,0,-0.75,0.56,0.022
20070419,-0.23,-0.37,-0.08,0.022
20070420,0.89,0.23,-0.04,0.022
20070423,-0.24,0.09,-0.34,0.022
20070424,-0.1,-0.06,-0.24,0.022
20070425,0.91,-0.38,0.19,0.022
20070426,-0.02,0.3,-0.28,0.022
20070427,-0.13,-0.3,-0.41,0.022
20070430,-0.93,-0.88,-0.03,0.022
20070501,0.22,-0.06,-0.03,0.018
20070502,0.79,0.62,0.03,0.018
20070503,0.37,-0.34,0.15,0.018
20070504,0.25,0.17,0.02,0.018
20070507,0.18,-0.37,0.28,0.018
20070508,-0.13,-0.03,-0.12,0.018
20070509,0.35,0.08,-0.03,0.018
20070510,-1.42,-0.51,0.25,0.018
20070511,0.95,0.2,0.03,0.018
20070514,-0.28,-0.58,-0.02,0.018
20070515,-0.27,-0.75,0.16,0.018
20070516,0.82,-0.2,0.04,0.018
20070517,-0.1,-0.35,-0.02,0.018
20070518,0.66,0.42,-0.5,0.018
20070521,0.31,0.88,-0.19,0.018
20070522,0.08,0.7,0.02,0.018
20070523,-0.18,-0.2,-0.15,0.018
20070524,-1.07,-0.38,-0.07,0.018
20070525,0.55,0.22,-0.06,0.018
20070529,0.24,0.6,-0.03,0.018
20070530,0.77,-0.21,-0.08,0.018
20070531,0.13,0.36,-0.31,0.018
20070601,0.44,0.29,0.09,0.019
20070604,0.18,0.07,-0.01,0.019
20070605,-0.55,-0.13,-0.21,0.019
20070606,-0.92,0.11,0.03,0.019
20070607,-1.75,-0.04,0.12,0.019
20070608,1.07,-0.02,-0.06,0.019
20070611,0.08,-0.32,0.16,0.019
20070612,-1.06,-0.19,-0.09,0.019
20070613,1.37,-0.2,-0.17,0.019
20070614,0.5,0.13,-0.13,0.019
20070615,0.69,0.5,0,0.019
20070618,-0.13,-0.02,-0.02,0.019
20070619,0.14,0.01,0.1,0.019
20070620,-1.29,0.07,-0.16,0.019
20070621,0.56,-0.18,-0.03,0.019
20070622,-1.25,0.58,0,0.019
20070625,-0.39,-0.39,-0.1,0.019
20070626,-0.35,0.17,-0.24,0.019
20070627,0.92,0.48,-0.36,0.019
20070628,0.03,0.17,0.06,0.019
20070629,-0.19,-0.33,-0.05,0.019
20070702,1.06,-0.08,0.11,0.019
20070703,0.36,-0.04,-0.12,0.019
20070705,0.07,0.2,-0.57,0.019
20070706,0.4,-0.07,-0.06,0.019
20070709,0.1,0.06,-0.09,0.019
20070710,-1.43,-0.16,-0.38,0.019
20070711,0.55,-0.31,-0.08,0.019
20070712,1.78,-0.17,-0.26,0.019
20070713,0.28,-0.3,0.05,0.019
20070716,-0.31,-0.43,-0.33,0.019
20070717,0.02,0.15,-0.2,0.019
20070718,-0.25,-0.2,-0.25,0.019
20070719,0.44,0.33,-0.46,0.019
20070720,-1.25,-0.27,-0.21,0.019
20070723,0.36,-0.41,-0.49,0.019
20070724,-2.04,-0.53,-0.3,0.019
20070725,0.3,-0.42,0.06,0.019
20070726,-2.36,-0.08,-0.22,0.019
20070727,-1.51,-0.1,0.09,0.019
20070730,0.93,-0.27,-0.07,0.019
20070731,-1.19,0.36,-0.1,0.019
20070801,0.51,-0.51,-0.3,0.018
20070802,0.55,0.17,-0.3,0.018
20070803,-2.66,-0.66,-0.79,0.018
20070806,2.07,-1.14,-0.41,0.018
